AptName,PC1,PC2,PC3,PC4,Target,EntrezGeneSymbol
seq.9918.23,-0.019852497366701888,-1.9881407864592724e-4,-0.0025147407666017353,-1.6759292372736344e-4,Calbindin D28,CALB1
seq.3422.4,0.01984313742403271,0.005008887082701541,-0.00718091661307182,0.002857132689921752,CDK1/cyclin B,CDK1|CCNB1
seq.12667.2,0.01984290975841561,0.0025662294146824127,-0.002713268624589706,0.004773634800076821,GUAD,GDA
seq.12830.4,0.019838199727697185,8.460831782062245e-4,-0.0045160074837008925,-0.0031153790542213368,SAP18,SAP18
seq.21786.25,0.01983652252329509,-0.0014305387834968226,-0.006482878847272396,0.011953186803383933,CDKL2,CDKL2
seq.5707.55,0.019835441670549774,-0.008986472776014942,-0.005067897112200084,-7.822244443051183e-4,ELK3,ELK3
seq.3322.52,-0.01981996767489284,-0.0013942867156010571,-0.005517391096183161,0.0049597419394241645,LRIG3,LRIG3
seq.14156.33,0.01981875410729416,-0.011335734667352585,0.002941189508885767,0.004483124723610296,14-3-3 protein beta/alpha,YWHAB
seq.15667.39,-0.019808586702995023,-0.0026884718649344136,-0.007385716026592331,0.006232972354880829,BMP-4,BMP4
seq.11493.169,0.01980832998637685,-0.009605914793175395,5.77483313235233e-4,0.008737404692836613,DYL2,DYNLL2
seq.6119.14,0.019802936478781532,0.008583614341707574,0.006694654249470794,-0.007680591875587652,MAMC2,MAMDC2
seq.16070.7,-0.01980031766908671,0.0013008779922848064,-0.006404746063183487,0.005893813663870466,WIF-1,WIF1
seq.9231.23,-0.01979525561882456,-0.002304114926347349,-0.012415299490220652,0.0018429973020970504,IMPA3,BPNT2
seq.10516.53,-0.019791397055574048,-0.002251428684348203,-0.009630814392528253,0.0024749522189210205,Fc_MOUSE,
seq.15503.20,-0.019782382255029422,0.002684204244905374,-0.0018705907696103022,0.008682183514997109,Lefty-A,LEFTY2
seq.9229.9,0.01977789378771906,0.004645595186742055,0.006253582178389646,0.0015766342639781834,CTRL,CTRL
seq.19328.51,0.019773158371669396,6.557996980833616e-4,-0.00767374288609341,-0.002115520825215355,Chk2,CHEK2
seq.16610.13,-0.01976909491208332,-0.006655382359982696,8.591286092751652e-4,-0.008313888405979486,LRP10,LRP10
seq.13472.35,0.019766786448522655,-0.005812839669961395,-0.0053162473492060795,0.010620505725786043,HDHD2,HDHD2
seq.12834.3,0.019766775170314003,0.009983205446162918,-0.005000598960439579,0.004373023092559798,KCNF1,KCNF1
seq.5596.75,-0.019759266868230478,-0.001506029091458056,-5.521808659137349e-4,-0.0043198991210817,CD5,CD5
seq.12716.3,0.019757530690903465,0.007933575198814892,-0.0020617849187841383,-0.00875792389508476,ZN175,ZNF175
seq.3222.11,0.019753246564881435,0.0012676630770772578,-0.0077796490674804965,0.0037433368329911334,Semaphorin 3A,SEMA3A
seq.17391.10,0.01974639484228457,0.0045421223665893995,0.006243966780758222,-0.0013367708762026453,SPF45,RBM17
seq.11231.12,-0.01974093136993968,0.004993036868895976,0.005572045351602166,0.005472412091921568,ADXL,FDX2
seq.3284.75,-0.019734130702601816,0.0012340874207032804,-5.811801679659649e-4,-0.0016801847288092048,BGN,BGN
seq.5490.53,0.01973259893046541,-3.316543681514572e-4,-0.0033203532402180155,0.013898838589660732,Testican-1,SPOCK1
seq.3010.53,0.01973063344535762,8.356904363352604e-4,-0.012362228890550985,0.0021203061562630058,TSLP,TSLP
seq.6384.19,0.0197273130691178,-0.00908009131636131,-0.005216025145328561,0.0030686616149662414,WFDC3,WFDC3
