AptName,Target,EntrezGeneSymbol,ColCheck,UniProt
seq.13693.5,ARMEL,CDNF,PASS,Q49AH0
seq.4962.52,ARMEL,CDNF,PASS,Q49AH0
seq.9223.11,ARMET,MANF,PASS,P55145
seq.21951.32,ARNT,ARNT,PASS,P27540
seq.4963.19,ARP19,ARPP19,PASS,P56211
seq.23376.56,ARPC2,ARPC2,PASS,O15144
seq.12643.4,ARRB1,ARRB1,PASS,P49407
seq.12352.70,ARRD3,ARRDC3,PASS,Q96B67
seq.23342.4,ARRD5,ARRDC5,PASS,A6NEK1
seq.25461.3,ARRS,SAG,PASS,P10523
seq.3172.28,ARSB,ARSB,PASS,P15848
seq.8269.327,ARSK,ARSK,PASS,Q6UWY0
seq.2813.11,ART,AGRP,PASS,O00253
seq.6576.1,ART4,ART4,PASS,Q93070
seq.4964.67,ARTS1,ERAP1,PASS,Q9NZ08
seq.12632.14,ARY1,NAT1,PASS,P18440
seq.18417.3,AS3MT,AS3MT,PASS,Q9HBK9
seq.3212.30,ASAH2,ASAH2,PASS,Q9NR71
seq.3173.49,ASAHL,NAAA,PASS,Q02083
seq.13518.5,ASAP2,ASAP2,PASS,O43150
seq.24455.2,ASAP3,ASAP3,PASS,Q8TDY4
seq.21234.7,ASB-13,ASB13,PASS,Q8WXK3
seq.22071.38,ASB8,ASB8,PASS,Q9H765
seq.19601.15,ASB9,ASB9,PASS,Q96DX5
seq.24671.15,ASC,PYCARD,PASS,Q9ULZ3
