AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.18340.2,-0.2355200406750711,0.08747824155800125,-0.4966141263312485,0.6274510380317624,0.9987520320773822,-4.693759224372702,Proteasome beta chain,PSMB4,Spine_vs_HeadNeck
seq.9219.70,0.13797161230172864,-0.12728411854317692,0.4965843487430515,0.6274714927627381,0.9987520320773822,-4.693762700500735,NENF,NENF,Spine_vs_HeadNeck
seq.18894.1,0.05851761308744567,0.0015457175867710227,0.4965400580663491,0.6275019173708363,0.9987520320773822,-4.693767870473284,GPX2,GPX2,Spine_vs_HeadNeck
seq.8761.7,0.060562658704956016,-0.08062329803778923,0.4962677809924659,0.6276889682487689,0.9987520320773822,-4.693799643410406,Fc_MOUSE,,Spine_vs_HeadNeck
seq.21282.21,-0.08997974077338075,0.01762301822442088,-0.4962611769346537,0.6276935054835127,0.9987520320773822,-4.693800413857672,TNIP1,TNIP1,Spine_vs_HeadNeck
seq.22085.86,-0.06924851756328777,-0.016140820262734668,-0.4961956031559106,0.6277385579733967,0.9987520320773822,-4.693808063351358,BMI-1,BMI1,Spine_vs_HeadNeck
seq.24420.57,0.06217570841832033,-0.10138576720249404,0.49606922796398206,0.6278253884591471,0.9987520320773822,-4.69382280294979,DOHH,DOHH,Spine_vs_HeadNeck
seq.21395.23,0.26988629807287645,-0.4893595314928687,0.4960293206533682,0.6278528093625741,0.9987520320773822,-4.693827456754265,PCD17,PCDH17,Spine_vs_HeadNeck
seq.10339.48,-0.10051180946865755,-0.06385913967639094,-0.4956947636276235,0.6280827109614648,0.9987520320773822,-4.693866457445117,NSE,ENO2,Spine_vs_HeadNeck
seq.21429.50,0.16675880040794935,-0.3050692980608649,0.4953475525289577,0.6283213507457921,0.9987520320773822,-4.693906907215568,THOP1,THOP1,Spine_vs_HeadNeck
seq.17678.28,0.07127583735947428,-0.11070825872672312,0.4953121230202547,0.6283457040450342,0.9987520320773822,-4.69391103322795,VSIG4,VSIG4,Spine_vs_HeadNeck
seq.13495.48,0.21456002549368103,-0.24452825488566635,0.4953040947686461,0.6283512225137009,0.9987520320773822,-4.693911968135204,HCAR2,HCAR2,Spine_vs_HeadNeck
seq.6461.54,0.06047882351133751,-0.0372471828134168,0.4947855723391559,0.6287076940659577,0.9987520320773822,-4.693972321131346,Apo C-III,APOC3,Spine_vs_HeadNeck
seq.8011.96,0.13282219679857096,-0.04640401109664253,0.49471829193373273,0.6287539547815211,0.9987520320773822,-4.693980147839491,PAPL,ACP7,Spine_vs_HeadNeck
seq.9569.14,0.07139854555043064,0.005093652860496937,0.4947042898747433,0.6287635825327813,0.9987520320773822,-4.693981776569225,SCAR3,SCARA3,Spine_vs_HeadNeck
seq.14628.72,-0.06315252592841016,-0.017457748519566756,-0.4945547924000106,0.6288663806931329,0.9987520320773822,-4.693999163532966,FBX3,FBXO3,Spine_vs_HeadNeck
seq.25273.80,0.285759860320012,0.2635413216453297,0.49452897958862757,0.6288841310323543,0.9987520320773822,-4.694002165134925,Caldesmon,CALD1,Spine_vs_HeadNeck
seq.21368.46,-0.1937872531508594,0.27522978004535065,-0.49434988382645195,0.6290072939221851,0.9987520320773822,-4.694022986960764,RPC10,POLR3K,Spine_vs_HeadNeck
seq.23289.25,-0.09342824507357804,-0.024563130353702684,-0.49428842398237544,0.6290495620741041,0.9987520320773822,-4.694030130706263,NGN1,NEUROG1,Spine_vs_HeadNeck
seq.7695.106,-0.07640286552766914,0.13225738616090008,-0.4939841778654784,0.6292588230539204,0.9987520320773822,-4.694065482303027,SQSTM,SQSTM1,Spine_vs_HeadNeck
seq.25278.41,0.33829957927652965,0.5225768177913737,0.49392790442599616,0.6292975316550169,0.9987520320773822,-4.694072018708689,RHG06,ARHGAP6,Spine_vs_HeadNeck
seq.21688.50,0.06857990251929377,-0.07514357035862806,0.4935446305806748,0.6295612029957651,0.9987520320773822,-4.694116519080446,VLA-4,ITGA4|ITGB1,Spine_vs_HeadNeck
seq.23203.3,0.124914667723748,-0.0698349199292112,0.4931731705367231,0.6298167973101351,0.9987520320773822,-4.694159616912144,RISC,SCPEP1,Spine_vs_HeadNeck
seq.13717.15,0.06686112033651073,-0.11745671484246174,0.49302434747962304,0.6299192133783065,0.9987520320773822,-4.6941768752470985,FCN2,FCN2,Spine_vs_HeadNeck
seq.17721.82,0.0477054903239325,-9.460105334895275e-4,0.49284163937308856,0.6300449590780955,0.9987520320773822,-4.694198056402558,GAS7,GAS7,Spine_vs_HeadNeck
seq.23607.1,-0.11117102187130773,0.1342262243418458,-0.49276287622580245,0.6300991701398315,0.9987520320773822,-4.694207185060471,CP071,C16orf71,Spine_vs_HeadNeck
seq.13588.11,-0.09327633212794709,0.03475785814543878,-0.49274524699340067,0.6301113042836305,0.9987520320773822,-4.6942092281032775,ANXA9,ANXA9,Spine_vs_HeadNeck
seq.9742.59,0.2221763938814532,-0.2542294749953622,0.4926982023826753,0.630143685481827,0.9987520320773822,-4.694214679744044,BAT1,DDX39B,Spine_vs_HeadNeck
seq.22792.21,-0.1972793345330078,0.18933760263070795,-0.49267921503374107,0.6301567548568836,0.9987520320773822,-4.694216879904773,SYWM,WARS2,Spine_vs_HeadNeck
seq.20120.101,0.06430927283884036,-0.02392465910481841,0.4926105601269711,0.6302040124897641,0.9987520320773822,-4.69422483463498,AMGO1,AMIGO1,Spine_vs_HeadNeck
seq.9497.3,0.09148465988306212,-0.1323907091856833,0.4923594887601739,0.6303768482686547,0.9987520320773822,-4.694253916278976,Fc_MOUSE,,Spine_vs_HeadNeck
seq.6935.123,-0.12808447540707465,0.13328950979001286,-0.492263316750625,0.6304430583819827,0.9987520320773822,-4.694265052220162,BAMBI,BAMBI,Spine_vs_HeadNeck
seq.12457.10,-0.14467718766405985,-0.12750704262388238,-0.49225049640072033,0.6304518848674918,0.9987520320773822,-4.6942665365590095,MTND,ADI1,Spine_vs_HeadNeck
seq.23700.42,-0.14879669211717558,0.2407379709009009,-0.4920800771247182,0.6305692197964562,0.9987520320773822,-4.694286264243678,ABCF3,ABCF3,Spine_vs_HeadNeck
seq.7846.44,-0.06553106259172498,0.03919477553819295,-0.4919532268894982,0.6306565638600207,0.9987520320773822,-4.694300944232268,PSG11,PSG11,Spine_vs_HeadNeck
seq.21987.76,0.0635885692646533,-0.0032305850404013015,0.4918000652821151,0.6307620325602639,0.9987520320773822,-4.694318664427237,LPL,LPL,Spine_vs_HeadNeck
seq.18188.12,-0.19915719067040732,-0.1457681334884325,-0.49170404465231693,0.6308281576552561,0.9987520320773822,-4.694329770998185,GATM,GATM,Spine_vs_HeadNeck
seq.15333.11,0.09443482604576492,-0.12454675718038503,0.49130140207481604,0.6311054753794009,0.9987520320773822,-4.6943763219598065,SDF2,SDF2,Spine_vs_HeadNeck
seq.22387.26,-0.08117879173289397,-0.028704545729762703,-0.49116248663061884,0.631201166014698,0.9987520320773822,-4.6943923741801905,PITX3,PITX3,Spine_vs_HeadNeck
seq.22089.13,0.07849436323694396,-0.03167974741276399,0.4907499440282899,0.6314853828262812,0.9987520320773822,-4.694440019994978,BTG4,BTG4,Spine_vs_HeadNeck
seq.5468.67,0.12297029686929939,-0.1667131085640805,0.49073611858579796,0.6314949087688251,0.9987520320773822,-4.694441616087757,IL-17 RC,IL17RC,Spine_vs_HeadNeck
seq.19752.197,-0.09981393211797698,0.020208974087070047,-0.4906478900759368,0.6315557011755925,0.9987520320773822,-4.6944518007279274,AMP1D,METAP1D,Spine_vs_HeadNeck
