pathway,collection,n_hit_in_set,n_set,n_hit,n_background,odds_ratio,p_value,padj,draw,contrast,direction,n_sig_hits,label
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG,3,24,1136,7481,0.7974001000308851,0.7288580160469841,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_OOCYTE_MEIOSIS,KEGG,6,47,1136,7481,0.8164250451924516,0.7388682503358264,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_GAP_JUNCTION,KEGG,5,40,1136,7481,0.7970418538075318,0.7476871063061978,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG,3,25,1136,7481,0.7610384683947571,0.7546810105251798,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_HYPOXIA,Hallmark,18,137,1136,7481,0.8423690775525282,0.7834235798666154,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ALZHEIMERS_DISEASE,KEGG,9,74,1136,7481,0.7715765374621103,0.8116416015768531,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_APOPTOSIS,Hallmark,16,126,1136,7481,0.80976201083605015,0.8173417431567248,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ADHERENS_JUNCTION,KEGG,7,60,1136,7481,0.7360942821837688,0.8263649318077332,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_CELL_CYCLE,KEGG,8,68,1136,7481,0.742935260556317,0.8308777560056131,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_PANCREATIC_CANCER,KEGG,7,62,1136,7481,0.7091047835420665,0.8512005822218869,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ARACHIDONIC_ACID_METABOLISM,KEGG,3,30,1136,7481,0.6196290433935603,0.855326054806296,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_ERBB_SIGNALING_PATHWAY,KEGG,10,86,1136,7481,0.7325935370239486,0.8607358731458485,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_LONG_TERM_DEPRESSION,KEGG,4,39,1136,7481,0.6370862534432965,0.8640112507669878,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG,4,39,1136,7481,0.6370862534432965,0.8640112507669878,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_CHRONIC_MYELOID_LEUKEMIA,KEGG,6,56,1136,7481,0.6685281860758527,0.8726345189412681,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,KEGG,3,32,1136,7481,0.5767175116804015,0.884176139994303,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
HALLMARK_PROTEIN_SECRETION,Hallmark,6,59,1136,7481,0.6303903752771199,0.9020177587205198,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_PYRIMIDINE_METABOLISM,KEGG,6,59,1136,7481,0.6303903752771199,0.9020177587205198,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,KEGG,3,34,1136,7481,0.5393424945178191,0.9077791850439625,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG,10,92,1136,7481,0.6783452421741984,0.9093141928245226,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG,4,43,1136,7481,0.5713879116028254,0.9095162013051139,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG,5,53,1136,7481,0.5799992209458524,0.9214470903380878,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,5,53,1136,7481,0.5799992209458524,0.9214470903380878,0.9999997322790738,Arterial,Spine_vs_Laparoscopic,up,718,Arterial · Spine / Laparoscopic · higher in 1st
