AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast,draw
seq.8264.43,0.30935042903759324,11.325878524028688,0.8636709364936774,0.404871058773036,0.6345779154999125,-5.574984171163252,DLL1,DLL1,Laparoscopic_vs_HeadNeck,Arterial
seq.10943.36,-0.15213783900947853,7.818317301372016,-0.86296156857727,0.405113044695113,0.6348241909015795,-5.575696000431623,Fc_MOUSE,,Laparoscopic_vs_HeadNeck,Arterial
seq.24940.3,-0.30657254293493175,10.230535363324126,-0.8630060120011888,0.4052221266260251,0.6348621422595379,-5.5755277059458885,IKK-beta,IKBKB,Laparoscopic_vs_HeadNeck,Arterial
seq.9077.10,-0.19957859989452942,11.822190451255336,-0.8617829880321436,0.4057172418950835,0.6355047501292127,-5.576677092867811,MA1A2,MAN1A2,Laparoscopic_vs_HeadNeck,Arterial
seq.16908.5,-0.737086055319919,11.270051662593117,-0.8617125556418893,0.4059056366210948,0.6355395933881672,-5.576583979107387,OMGP,OMG,Laparoscopic_vs_HeadNeck,Arterial
seq.10731.10,-0.29951364944765224,11.136492591191628,-0.8617054491669799,0.405909394092857,0.6355395933881672,-5.5765897786326235,HS3S5,HS3ST5,Laparoscopic_vs_HeadNeck,Arterial
seq.22140.6,-0.5002695741775032,9.939608943689713,-0.8610456838237753,0.40625834015650175,0.6359528442583783,-5.5771280246446615,F204A,FAM204A,Laparoscopic_vs_HeadNeck,Arterial
seq.6510.56,0.18149286656717933,10.972332643668125,0.8596808095661316,0.4068300999536131,0.636714639697276,-5.578390731599379,RN128,RNF128,Laparoscopic_vs_HeadNeck,Arterial
seq.21692.12,-0.21813128344233057,9.222358381932464,-0.8593984684900421,0.40713042602290783,0.6370513944943262,-5.578470273271587,CD8A/CD8B Complex,CD8A|CD8B,Laparoscopic_vs_HeadNeck,Arterial
seq.14111.15,-0.14894134038239315,8.82087851228456,-0.8588198329199133,0.4072864795802056,0.6371623073482889,-5.579091518703815,TSP2,THBS2,Laparoscopic_vs_HeadNeck,Arterial
seq.17773.26,0.33683918198904195,11.3157409802534,0.858710117347998,0.4074952336495695,0.637355601700278,-5.579030516672474,SNAG,NAPG,Laparoscopic_vs_HeadNeck,Arterial
seq.24485.32,-0.5364287255138542,10.57488377245344,-0.8576680734890972,0.40804790788140965,0.6378489739307078,-5.579877880473077,BAP31,BCAP31,Laparoscopic_vs_HeadNeck,Arterial
seq.12625.138,0.19791393599747664,9.661098492457151,0.8575510615401198,0.4080931442873117,0.6378489739307078,-5.579989805350107,KLHL7,KLHL7,Laparoscopic_vs_HeadNeck,Arterial
seq.9043.7,-0.17593109798891682,9.469440407826772,-0.8573975484356315,0.4080944929319176,0.6378489739307078,-5.580194558714653,TFP11,TFIP11,Laparoscopic_vs_HeadNeck,Arterial
seq.7231.37,-0.21533614896752162,9.450008996029196,-0.8574724409347764,0.4081517227919126,0.6378489739307078,-5.580036863566358,TM11A,TMPRSS11A,Laparoscopic_vs_HeadNeck,Arterial
seq.25921.3,0.363136301744305,10.538465281084365,0.8567700426786304,0.4085246059177443,0.638298366096626,-5.580607414209991,Inhibin a subunit,INHA,Laparoscopic_vs_HeadNeck,Arterial
seq.25428.103,0.1454247314495838,8.625623954061403,0.8560746957944685,0.40874390032190044,0.638507646337051,-5.58132180014799,IFRD1,IFRD1,Laparoscopic_vs_HeadNeck,Arterial
seq.6259.60,0.3412670122315351,13.53431592555134,0.85590590614795,0.40896678582237045,0.6386677179053156,-5.5813256504959154,Tenascin,TNC,Laparoscopic_vs_HeadNeck,Arterial
seq.14022.17,-0.14862490620897084,8.514952186443582,-0.8555608130710646,0.40901711488896764,0.6386677179053156,-5.581738607850846,IL-17B,IL17B,Laparoscopic_vs_HeadNeck,Arterial
seq.10396.6,0.19911933440786633,7.6198961721619085,0.8555992021996661,0.40914668105658936,0.6387367113907231,-5.5815575657740055,Mcl-1,MCL1,Laparoscopic_vs_HeadNeck,Arterial
